;ECC;PERIH_KM;EPOCH_JD;EPOCH_ET;LNODE_RAD;ARGP_RAD;I_RAD;GM_SUN;COMP_ET;M0_RAD;STATE_VEC;POS_VEC_KM;POS_VEC_WRT_EARTH_KM;ECLIP_LONG_DEG;ECLIP_LAT_DEG
0;0.29343676321089457;150500750.13032043;2459038.6803710833;647454053.2455059;4.792305926862243;0.22361458173435625;0.06191755259206265;132712440041.9393;646747269.1841353;0.0;"[ 2.18236796e+07 -1.49341492e+08  6.09540757e+05  3.30830215e+01
  6.06362261e+00  2.07450607e+00]";[ 2.18236796e+07 -1.49341492e+08  6.09540757e+05];[-394451.0916718  1116932.7795085   602960.53819466];109.45095996888601;26.977271341491356
1;0.2936042376402695;150499706.52563453;2459038.679989013;647454020.2346188;4.792301558024692;0.22362320614060627;0.061946277742213195;132712440041.9393;646747269.1841353;0.0;"[ 2.18235261e+07 -1.49340671e+08  6.09859647e+05  3.30850904e+01
  6.06458156e+00  2.07560270e+00]";[ 2.18235261e+07 -1.49340671e+08  6.09859647e+05];[-394604.64470373 1117754.08599252  603279.42866459];109.4447388448637;26.973380580967657
2;0.29344354326993105;150500356.7525969;2459038.6803480703;647454051.2571865;4.792305373504776;0.22361676568475541;0.061922559188973485;132712440041.9393;646747269.1841353;0.0;"[ 2.18237772e+07 -1.49341090e+08  6.09603355e+05  3.30831286e+01
  6.06370574e+00  2.07468116e+00]";[ 2.18237772e+07 -1.49341090e+08  6.09603355e+05];[-394353.57165109 1117335.03729534  603023.13669317];109.44003615401961;26.97289474671961
3;0.2934929982892951;150500145.5163167;2459038.680259917;647454043.6407315;4.792304723180875;0.22361869920537691;0.061930977818871705;132712440041.9393;646747269.1841353;0.0;"[ 2.18237021e+07 -1.49340952e+08  6.09688563e+05  3.30837301e+01
  6.06397946e+00  2.07500234e+00]";[ 2.18237021e+07 -1.49340952e+08  6.09688563e+05];[-394428.63106002 1117473.16851056  603108.34476514];109.44123557492576;26.973132952624706
4;0.29356036625124754;150499953.3994568;2459038.680085684;647454028.5870205;4.792301863094233;0.2236222484291004;0.06194145785698249;132712440041.9393;646747269.1841353;0.0;"[ 2.18236330e+07 -1.49340849e+08  6.09814953e+05  3.30845428e+01
  6.06434644e+00  2.07540584e+00]";[ 2.18236330e+07 -1.49340849e+08  6.09814953e+05];[-394497.70327923 1117575.83977079  603234.73477497];109.44273235748479;26.975644764413413
5;0.29344341784947314;150500465.50103533;2459038.680241373;647454042.0385281;4.792304884091877;0.22361617163091177;0.061923788822092374;132712440041.9393;646747269.1841353;0.0;"[ 2.18239620e+07 -1.49341161e+08  6.09631134e+05  3.30831107e+01
  6.06372453e+00  2.07472135e+00]";[ 2.18239620e+07 -1.49341161e+08  6.09631134e+05];[-394168.75981255 1117264.31369162  603050.91538758];109.4327463667638;26.976467658728794
6;0.2934716457077774;150500265.2043048;2459038.680340731;647454050.6230694;4.792304646488891;0.2236178719908619;0.06192490748810399;132712440041.9393;646747269.1841353;0.0;"[ 2.18235723e+07 -1.49341069e+08  6.09620766e+05  3.30834774e+01
  6.06382940e+00  2.07478205e+00]";[ 2.18235723e+07 -1.49341069e+08  6.09620766e+05];[-394558.43587479 1117356.56354743  603040.54768857];109.44903061381395;26.971833707486656
7;0.29352368258786365;150499867.03311363;2459038.680229333;647454040.9982983;4.792303543479317;0.22362042327463294;0.06193469232682459;132712440041.9393;646747269.1841353;0.0;"[ 2.18234940e+07 -1.49340744e+08  6.09724410e+05  3.30841267e+01
  6.06412622e+00  2.07515211e+00]";[ 2.18234940e+07 -1.49340744e+08  6.09724410e+05];[-394636.6852434  1117680.80702692  603144.19136373];109.44737848165906;26.969329942405594
8;0.2934883648937107;150500376.47990018;2459038.68024496;647454042.3484417;4.792304573761588;0.22361820591553824;0.06193071660555108;132712440041.9393;646747269.1841353;0.0;"[ 2.18237771e+07 -1.49341165e+08  6.09690961e+05  3.30836496e+01
  6.06395231e+00  2.07498843e+00]";[ 2.18237771e+07 -1.49341165e+08  6.09690961e+05];[-394353.66161099 1117260.43735096  603110.74300666];109.44124091711946;26.97763404659156
9;0.29342719022926084;150500449.553626;2459038.6803052765;647454047.5597988;4.79230434192204;0.22361624471489044;0.061922241409469;132712440041.9393;646747269.1841353;0.0;"[ 2.18238463e+07 -1.49341145e+08  6.09613853e+05  3.30829236e+01
  6.06361380e+00  2.07465714e+00]";[ 2.18238463e+07 -1.49341145e+08  6.09613853e+05];[-394284.45764588 1117280.51548004  603033.63465692];109.43776195152874;26.97475261117833
10;0.29362459254504264;150499583.73055613;2459038.6800568257;647454026.0936505;4.792301584619146;0.22362389214533235;0.061946827440285936;132712440041.9393;646747269.1841353;0.0;"[ 2.18232134e+07 -1.49340630e+08  6.09845695e+05  3.30853545e+01
  6.06464822e+00  2.07563783e+00]";[ 2.18232134e+07 -1.49340630e+08  6.09845695e+05];[-394917.28501151 1117794.61457562  603265.47653829];109.45833493079226;26.970064278719843
11;0.29346087936794574;150500411.63382995;2459038.680373347;647454053.4410778;4.792305824844824;0.22361748364204773;0.061925547726034154;132712440041.9393;646747269.1841353;0.0;"[ 2.18237464e+07 -1.49341178e+08  6.09626303e+05  3.30833242e+01
  6.06380015e+00  2.07479420e+00]";[ 2.18237464e+07 -1.49341178e+08  6.09626303e+05];[-394384.3080883  1117247.29675853  603046.08421504];109.4428499421119;26.975193485500846
12;0.293457595840987;150500289.63399017;2459038.6804048745;647454056.1650616;4.792306256925464;0.2236160653080367;0.061921570316352356;132712440041.9393;646747269.1841353;0.0;"[ 2.18234945e+07 -1.49341091e+08  6.09567872e+05  3.30833144e+01
  6.06373707e+00  2.07465977e+00]";[ 2.18234945e+07 -1.49341091e+08  6.09567872e+05];[-394636.25239735 1117334.34872022  602987.65363647];109.4529361293161;26.969705195717836
13;0.2935298969143291;150499999.25722858;2459038.68024492;647454042.344978;4.79230355738305;0.22362114181043186;0.061935085337824505;132712440041.9393;646747269.1841353;0.0;"[ 2.18235540e+07 -1.49340879e+08  6.09731197e+05  3.30841838e+01
  6.06416962e+00  2.07516906e+00]";[ 2.18235540e+07 -1.49340879e+08  6.09731197e+05];[-394576.73868993 1117545.92809081  603150.9784239 ];109.44681673218685;26.972465723051926
14;0.2935835687049276;150500003.3025374;2459038.6799996532;647454021.1539456;4.792302431861171;0.22361972903105581;0.061938918294237894;132712440041.9393;646747269.1841353;0.0;"[ 2.18234056e+07 -1.49340958e+08  6.09769976e+05  3.30848334e+01
  6.06441656e+00  2.07533896e+00]";[ 2.18234056e+07 -1.49340958e+08  6.09769976e+05];[-394725.14945275 1117467.18662775  603189.75746738];109.45484978978111;26.97443998037167
15;0.29338120827481096;150500700.90832883;2459038.6805136153;647454065.5602642;4.792307216506495;0.22361401400718245;0.06191338178326225;132712440041.9393;646747269.1841353;0.0;"[ 2.18238507e+07 -1.49341351e+08  6.09498821e+05  3.30823581e+01
  6.06335839e+00  2.07432395e+00]";[ 2.18238507e+07 -1.49341351e+08  6.09498821e+05];[-394280.01469991 1117073.84342992  602918.6029886 ];109.44088581451422;26.974173096297797
16;0.29345811423745605;150499800.69661263;2459038.6804444115;647454059.5810543;4.792305047718041;0.22361867788727666;0.061926215353500604;132712440041.9393;646747269.1841353;0.0;"[ 2.18233981e+07 -1.49340618e+08  6.09621389e+05  3.30833622e+01
  6.06375523e+00  2.07481858e+00]";[ 2.18233981e+07 -1.49340618e+08  6.09621389e+05];[-394732.64963453 1117806.88261518  603041.17044043];109.44972325727623;26.962427751263792
17;0.2935560876878133;150499917.80418018;2459038.6800670326;647454026.9755169;4.792302415499392;0.22362052277864927;0.06193796234213546;132712440041.9393;646747269.1841353;0.0;"[ 2.18235378e+07 -1.49340819e+08  6.09769551e+05  3.30845073e+01
  6.06429996e+00  2.07528610e+00]";[ 2.18235378e+07 -1.49340819e+08  6.09769551e+05];[-394592.96365188 1117605.77086774  603189.33285438];109.44659318878945;26.972730185146837
